code,name,q_T,q_next,price_1500,close_HKD,value_T_CNY,next_pcf_CNY,next_pcf_error_CNY
00165,中国光大控股,2174,2175,6.495,6.44,12107.9642992,12113.53,-0.003740000000107102
00388,香港交易所,372,372,402.2,402.0,129328.64208,129328.64,-0.0020800000056624413
01359,中国信达,35009,35018,0.915,0.91,27551.599875800002,27558.68,-0.002751600000920007
01375,中州证券,5170,5171,1.75,1.73,7735.036562,7736.53,-0.002700600000935083
01456,国联民生,1914,1915,3.89,3.865,6397.601080200001,6400.94,-0.003609500001402921
01776,广发证券,4984,4986,18.02,17.91,77196.8081808,77227.79,0.003966799995396286
01788,国泰君安国际,12351,12354,2.885,2.885,30815.815400699998,30823.3,-0.0004178000017418526
02611,国泰海通,8162,8165,14.94,14.87,104962.2866908,105000.87,0.0036890000046696514
03908,中金公司,5540,5542,19.93,19.86,95151.301608,95185.65,-0.0022584000107599422
03958,东方证券,4442,4444,5.825,5.8,22280.876551999998,22290.91,0.0015359999997599516
06030,中信证券,6975,6977,25.86,25.7,155025.47115,155069.92,-0.0028979999769944698
06066,中信建投证券,3818,3819,11.87,11.77,38863.160085200005,38873.34,0.0009833999938564375
06099,招商证券,2205,2205,15.03,14.95,28508.575095,28508.58,0.0049050000015995465
06178,光大证券,2132,2132,7.455,7.41,13662.530138400001,13662.53,-0.00013840000065101776
06806,申万宏源,7581,7583,2.545,2.52,16521.6250584,16525.98,-0.0037512000017159153
06881,中国银河,10742,10745,7.695,7.65,71067.707766,71087.56,0.004614999998011626
06886,HTSC,4956,4957,17.54,17.48,74920.11764160001,74935.23,-0.00469520001206547
