code,name,halfyear_qty,halfyear_weight,pcf_weight_NAV
06030,中信证券,115939550,14.47,16.82022285260087
00388,香港交易所,8085800,13.44,14.032123656021897
02611,国泰海通,177293128,12.05,11.388380503933973
03908,中金公司,120343200,11.57,10.323891202452891
01776,广发证券,108265800,8.42,8.37583338710942
06886,HTSC,107644600,8.23,8.128813062309383
06881,中国银河,233326000,7.86,7.710827603878137
06066,中信建投证券,82923500,4.57,4.216642649367412
06099,招商证券,47892240,3.79,3.0931729008843405
01359,中国信达,760684000,3.24,2.9893413412576915
03958,东方证券,96493200,2.42,2.4174692466717866
01788,国泰君安国际,268269000,2.41,3.343507867315932
06806,申万宏源,164660800,1.88,1.7925919741312326
06178,光大证券,46300200,1.56,1.482380927169747
00165,中国光大控股,47228000,1.13,1.3137109424219888
01375,中州证券,112295000,0.88,0.8392494328881496
01456,国联民生,41582500,0.74,0.6941380348193451
