date,time,code,name,quantity,price_HKD,stock_HKD,stock_CNY,fx
2026-09-08,09:30,00165,中国光大控股,2174,6.525,14185.350,12267.77438700,0.86482
2026-09-08,09:30,00388,香港交易所,372,400.800,149097.600,128942.58643200,0.86482
2026-09-08,09:30,01359,中国信达,35009,0.915,32033.235,27702.98229270,0.86482
2026-09-08,09:30,01375,中州证券,5170,1.750,9047.500,7824.45895000,0.86482
2026-09-08,09:30,01456,国联民生,1914,3.910,7483.740,6472.08802680,0.86482
2026-09-08,09:30,01776,广发证券,4984,18.400,91705.600,79308.83699200,0.86482
2026-09-08,09:30,01788,国泰君安国际,12351,2.875,35509.125,30709.00148250,0.86482
2026-09-08,09:30,02611,国泰海通,8162,15.090,123164.580,106515.19207560,0.86482
2026-09-08,09:30,03908,中金公司,5540,21.700,120218.000,103966.93076000,0.86482
2026-09-08,09:30,03958,东方证券,4442,5.835,25919.070,22415.33011740,0.86482
2026-09-08,09:30,06030,中信证券,6975,27.000,188325.000,162867.22650000,0.86482
2026-09-08,09:30,06066,中信建投证券,3818,12.220,46655.960,40349.00732720,0.86482
2026-09-08,09:30,06099,招商证券,2205,15.400,33957.000,29366.69274000,0.86482
2026-09-08,09:30,06178,光大证券,2132,7.500,15990.000,13828.47180000,0.86482
2026-09-08,09:30,06806,申万宏源,7581,2.565,19445.265,16816.65407730,0.86482
2026-09-08,09:30,06881,中国银河,10742,7.795,83733.890,72414.74274980,0.86482
2026-09-08,09:30,06886,HTSC,4956,17.700,87721.200,75863.04818400,0.86482
2026-09-08,09:31,00165,中国光大控股,2174,6.485,14098.390,12192.56963980,0.86482
2026-09-08,09:31,00388,香港交易所,372,401.200,149246.400,129071.27164800,0.86482
2026-09-08,09:31,01359,中国信达,35009,0.915,32033.235,27702.98229270,0.86482
2026-09-08,09:31,01375,中州证券,5170,1.750,9047.500,7824.45895000,0.86482
2026-09-08,09:31,01456,国联民生,1914,3.900,7464.600,6455.53537200,0.86482
2026-09-08,09:31,01776,广发证券,4984,18.210,90758.640,78489.88704480,0.86482
2026-09-08,09:31,01788,国泰君安国际,12351,2.880,35570.880,30762.40844160,0.86482
