date,time,stock_count,stock_HKD,fx_CNY_per_HKD,stock_CNY,estimated_cash_CNY,basket_value_CNY,unit_shares,IOPV_exact,IOPV_4dp,ETF_price,ETF_premium
2026-09-08,09:30,17,1084192.115,0.86482,937631.02489430,9547.19,947178.21489430,500000,1.8943564297886,1.8944,1.876,-0.0096900612260431258668599746
2026-09-08,09:31,17,1078169.940,0.86482,932422.92751080,9547.19,941970.11751080,500000,1.8839402350216,1.8839,1.873,-0.0058071030164471043184895632
2026-09-08,09:32,17,1078339.265,0.86482,932569.36315730,9547.19,942116.55315730,500000,1.8842331063146,1.8842,1.869,-0.0080845126134072990498777829
2026-09-08,09:33,17,1081202.760,0.86482,935045.77090320,9547.19,944592.96090320,500000,1.8891859218064,1.8892,1.871,-0.0096263271901851791080729061
2026-09-08,09:34,17,1084233.945,0.86482,937667.20031490,9547.19,947214.39031490,500000,1.8944287806298,1.8944,1.875,-0.0102557461269887016228831340
2026-09-08,09:35,17,1081330.760,0.86482,935156.46786320,9547.19,944703.65786320,500000,1.8894073157264,1.8894,1.872,-0.0092131090959111680758630531
2026-09-08,09:36,17,1080904.890,0.86482,934788.16696980,9547.19,944335.35696980,500000,1.8886707139396,1.8887,1.871,-0.0093561645284055123743056530
2026-09-08,09:37,17,1081531.495,0.86482,935330.06750590,9547.19,944877.25750590,500000,1.8897545150118,1.8898,1.873,-0.0088659743256098962160478305
2026-09-08,09:38,17,1082067.880,0.86482,935793.94398160,9547.19,945341.13398160,500000,1.8906822679632,1.8907,1.871,-0.0104101404539025872795161874
2026-09-08,09:39,17,1079591.925,0.86482,933652.68857850,9547.19,943199.87857850,500000,1.886399757157,1.8864,1.870,-0.0086936806977308639095929731
2026-09-08,09:40,17,1078603.930,0.86482,932798.25074260,9547.19,942345.44074260,500000,1.8846908814852,1.8847,1.866,-0.0099172133047468000692983947
2026-09-08,09:41,17,1079218.315,0.86482,933329.58317830,9547.19,942876.77317830,500000,1.8857535463566,1.8858,1.867,-0.0099448554095698699330179514
2026-09-08,09:42,17,1079561.720,0.86482,933626.56669040,9547.19,943173.75669040,500000,1.8863475133808,1.8863,1.868,-0.0097264757689937686615261400
2026-09-08,09:43,17,1080043.005,0.86482,934042.79158410,9547.19,943589.98158410,500000,1.8871799631682,1.8872,1.869,-0.0096334019664343276991680025
2026-09-08,09:44,17,1078899.195,0.86482,933053.60181990,9547.19,942600.79181990,500000,1.8852015836398,1.8852,1.867,-0.0096549800285324414443508050
2026-09-08,09:45,17,1079350.725,0.86482,933444.09399450,9547.19,942991.28399450,500000,1.885982567989,1.8860,1.867,-0.0100650813592836537261950558
2026-09-08,09:46,17,1079128.880,0.86482,933252.23800160,9547.19,942799.42800160,500000,1.8855988560032,1.8856,1.867,-0.0098636334785559693683164925
2026-09-08,09:47,17,1078891.655,0.86482,933047.08107710,9547.19,942594.27107710,500000,1.8851885421542,1.8852,1.869,-0.0085872271087014964362319094
2026-09-08,09:48,17,1081444.055,0.86482,935254.44764510,9547.19,944801.63764510,500000,1.8896032752902,1.8896,1.872,-0.0093158577360618397980892863
2026-09-08,09:49,17,1081279.900,0.86482,935112.48311800,9547.19,944659.67311800,500000,1.889319346236,1.8893,1.871,-0.0096962677445169615133417456
2026-09-08,09:50,17,1082274.005,0.86482,935972.20500410,9547.19,945519.39500410,500000,1.8910387900082,1.8910,1.874,-0.0090102805390502411109080359
2026-09-08,09:51,17,1081105.190,0.86482,934961.39041580,9547.19,944508.58041580,500000,1.8890171608316,1.8890,1.871,-0.0095378492081397103870199977
2026-09-08,09:52,17,1080427.085,0.86482,934374.95164970,9547.19,943922.14164970,500000,1.8878442832994,1.8878,1.871,-0.0089224961234414505259497770
2026-09-08,09:53,17,1081223.495,0.86482,935063.70294590,9547.19,944610.89294590,500000,1.8892217858918,1.8892,1.873,-0.0085864910160045435385063316
2026-09-08,09:54,17,1081654.195,0.86482,935436.18091990,9547.19,944983.37091990,500000,1.8899667418398,1.8900,1.874,-0.0084481602169660799601297778
2026-09-08,09:55,17,1082098.775,0.86482,935820.66259550,9547.19,945367.85259550,500000,1.890735705191,1.8907,1.873,-0.0093803195985069520632367664
2026-09-08,09:56,17,1081348.695,0.86482,935171.97840990,9547.19,944719.16840990,500000,1.8894383368198,1.8894,1.871,-0.0097586338016377963495588429
2026-09-08,09:57,17,1081499.250,0.86482,935302.18138500,9547.19,944849.37138500,500000,1.88969874277,1.8897,1.872,-0.0093659070461445285623567997
2026-09-08,09:58,17,1080955.785,0.86482,934832.18198370,9547.19,944379.37198370,500000,1.8887587439674,1.8888,1.871,-0.0094023358060528010703294572
2026-09-08,09:59,17,1081342.590,0.86482,935166.69868380,9547.19,944713.88868380,500000,1.8894277773676,1.8894,1.872,-0.0092238388661147098362025577
2026-09-08,10:00,17,1082193.495,0.86482,935902.57834590,9547.19,945449.76834590,500000,1.8908995366918,1.8909,1.871,-0.0105238466167351171799867880
2026-09-08,10:01,17,1081521.520,0.86482,935321.44092640,9547.19,944868.63092640,500000,1.8897372618528,1.8897,1.873,-0.0088569253465372687407008890
2026-09-08,10:02,17,1082931.025,0.86482,936540.40904050,9547.19,946087.59904050,500000,1.892175198081,1.8922,1.873,-0.0101339443094101640956704775
2026-09-08,10:03,17,1083128.460,0.86482,936711.15477720,9547.19,946258.34477720,500000,1.8925166895544,1.8925,1.873,-0.0103125587542349632757463817
2026-09-08,10:04,17,1082367.545,0.86482,936053.10026690,9547.19,945600.29026690,500000,1.8912005805338,1.8912,1.871,-0.0106813527564052956765859564
2026-09-08,10:05,17,1081786.875,0.86482,935550.92523750,9547.19,945098.11523750,500000,1.890196230475,1.8902,1.870,-0.0106847268814649761158946637
2026-09-08,10:06,17,1082485.475,0.86482,936155.08848950,9547.19,945702.27848950,500000,1.891404556979,1.8914,1.871,-0.0107880447383454987306056572
2026-09-08,10:07,17,1081410.770,0.86482,935225.66211140,9547.19,944772.85211140,500000,1.8895457042228,1.8895,1.870,-0.0103441288448957930542638080
2026-09-08,10:08,17,1080196.055,0.86482,934175.15228510,9547.19,943722.34228510,500000,1.8874446845702,1.8874,1.868,-0.0103021215557518984163830825
2026-09-08,10:09,17,1080226.400,0.86482,934201.39524800,9547.19,943748.58524800,500000,1.887497170496,1.8875,1.868,-0.0103296422377557776418139659
2026-09-08,10:10,17,1080169.525,0.86482,934152.20861050,9547.19,943699.39861050,500000,1.887398797221,1.8874,1.869,-0.0097482298113627764549692178
2026-09-08,10:11,17,1080033.230,0.86482,934034.33796860,9547.19,943581.52796860,500000,1.8871630559372,1.8872,1.868,-0.0101544251181216944602046313
2026-09-08,10:12,17,1080363.455,0.86482,934319.92315310,9547.19,943867.11315310,500000,1.8877342263062,1.8877,1.869,-0.0099241863844668217235980014
2026-09-08,10:13,17,1080189.895,0.86482,934169.82499390,9547.19,943717.01499390,500000,1.8874340299878,1.8874,1.868,-0.0102965347021562484614979132
2026-09-08,10:14,17,1080208.320,0.86482,934185.75930240,9547.19,943732.94930240,500000,1.8874658986048,1.8875,1.868,-0.0103132451925033663880129950
2026-09-08,10:15,17,1079611.570,0.86482,933669.67796740,9547.19,943216.86796740,500000,1.8864337359348,1.8864,1.868,-0.0097717378477995567969828393
2026-09-08,10:16,17,1079741.100,0.86482,933781.69810200,9547.19,943328.88810200,500000,1.886657776204,1.8867,1.867,-0.0104193651079380755262000588
2026-09-08,10:17,17,1080036.310,0.86482,934037.00161420,9547.19,943584.19161420,500000,1.8871683832284,1.8872,1.868,-0.0101572193550680586509711865
2026-09-08,10:18,17,1080376.455,0.86482,934331.16581310,9547.19,943878.35581310,500000,1.8877567116262,1.8878,1.868,-0.0104657085865586274073094727
2026-09-08,10:19,17,1079065.500,0.86482,933197.42571000,9547.19,942744.61571000,500000,1.88548923142,1.8855,1.868,-0.0092756994463598748777626153
2026-09-08,10:20,17,1079991.730,0.86482,933998.44793860,9547.19,943545.63793860,500000,1.8870912758772,1.8871,1.869,-0.0095868578846512913179485117
2026-09-08,10:21,17,1080424.860,0.86482,934373.02742520,9547.19,943920.21742520,500000,1.8878404348504,1.8878,1.869,-0.0099798873371906514681913366
2026-09-08,10:22,17,1080604.640,0.86482,934528.50476480,9547.19,944075.69476480,500000,1.8881513895296,1.8882,1.869,-0.0101429311419627399735035404
2026-09-08,10:23,17,1081400.780,0.86482,935217.02255960,9547.19,944764.21255960,500000,1.8895284251192,1.8895,1.868,-0.0113935439303284837133396629
2026-09-08,10:24,17,1080394.165,0.86482,934346.48177530,9547.19,943893.67177530,500000,1.8877873435506,1.8878,1.868,-0.0104817651300614425824064706
2026-09-08,10:25,17,1080194.020,0.86482,934173.39237640,9547.19,943720.58237640,500000,1.8874411647528,1.8874,1.869,-0.0097704580662864038116843759
2026-09-08,10:26,17,1079814.155,0.86482,933844.87752710,9547.19,943392.06752710,500000,1.8867841350542,1.8868,1.869,-0.0094256331308876151241890166
2026-09-08,10:27,17,1079870.750,0.86482,933893.82201500,9547.19,943441.01201500,500000,1.88688202403,1.8869,1.870,-0.0089470479950534462032420086
2026-09-08,10:28,17,1079944.200,0.86482,933957.34304400,9547.19,943504.53304400,500000,1.887009066088,1.8870,1.869,-0.0095437093608325851976837998
2026-09-08,10:29,17,1080495.790,0.86482,934434.36910780,9547.19,943981.55910780,500000,1.8879631182156,1.8880,1.869,-0.0100442206908802897594772874
2026-09-08,10:30,17,1079161.555,0.86482,933280.49599510,9547.19,942827.68599510,500000,1.8856553719902,1.8857,1.867,-0.0098933093858557704848632259
2026-09-08,10:31,17,1080097.995,0.86482,934090.34803590,9547.19,943637.53803590,500000,1.8872750760718,1.8873,1.869,-0.0096833134202344216707216074
2026-09-08,10:32,17,1080250.060,0.86482,934221.85688920,9547.19,943769.04688920,500000,1.8875380937784,1.8875,1.868,-0.0103510990547954490981217100
2026-09-08,10:33,17,1081239.890,0.86482,935077.88166980,9547.19,944625.07166980,500000,1.8892501433396,1.8893,1.869,-0.0107186141607506331314905635
2026-09-08,10:34,17,1080804.210,0.86482,934701.09689220,9547.19,944248.28689220,500000,1.8884965737844,1.8885,1.868,-0.0108533815040640836514836147
2026-09-08,10:35,17,1079972.175,0.86482,933981.53638350,9547.19,943528.72638350,500000,1.887057452767,1.8871,1.868,-0.0100990315578659142992096055
2026-09-08,10:36,17,1079294.325,0.86482,933395.31814650,9547.19,942942.50814650,500000,1.885885016293,1.8859,1.867,-0.0100138747218647686134930417
2026-09-08,10:37,17,1079282.290,0.86482,933384.91003780,9547.19,942932.10003780,500000,1.8858642000756,1.8859,1.868,-0.0094726863550853051410358980
2026-09-08,10:38,17,1079013.040,0.86482,933152.05725280,9547.19,942699.24725280,500000,1.8853984945056,1.8854,1.869,-0.0086976278772833682688013906
2026-09-08,10:39,17,1079621.260,0.86482,933678.05807320,9547.19,943225.24807320,500000,1.8864504961464,1.8865,1.869,-0.0092504394798843084298698381
2026-09-08,10:40,17,1080320.125,0.86482,934282.45050250,9547.19,943829.64050250,500000,1.887659281005,1.8877,1.869,-0.0098848776327186005618120906
2026-09-08,10:41,17,1080122.300,0.86482,934111.36748600,9547.19,943658.55748600,500000,1.887317114972,1.8873,1.869,-0.0097053721532492701526160746
2026-09-08,10:42,17,1079448.400,0.86482,933528.56528800,9547.19,943075.75528800,500000,1.886151510576,1.8862,1.868,-0.0096235697260909988284936795
2026-09-08,10:43,17,1078892.820,0.86482,933048.08859240,9547.19,942595.27859240,500000,1.8851905571848,1.8852,1.868,-0.0091187371585772574889334770
2026-09-08,10:44,17,1078668.320,0.86482,932853.93650240,9547.19,942401.12650240,500000,1.8848022530048,1.8848,1.869,-0.0083840376249591402729505312
2026-09-08,10:45,17,1079263.490,0.86482,933368.65142180,9547.19,942915.84142180,500000,1.8858316828436,1.8858,1.868,-0.0094556067786028690346133551
2026-09-08,10:46,17,1079099.810,0.86482,933227.09768420,9547.19,942774.28768420,500000,1.8855485753684,1.8855,1.868,-0.0093068805533006993490814854
2026-09-08,10:47,17,1079220.980,0.86482,933331.88792360,9547.19,942879.07792360,500000,1.8857581558472,1.8858,1.867,-0.0099472754706303620472912431
2026-09-08,10:48,17,1079736.840,0.86482,933778.01396880,9547.19,943325.20396880,500000,1.8866504079376,1.8867,1.868,-0.0098854604218848226228065528
2026-09-08,10:49,17,1079546.255,0.86482,933613.19224910,9547.19,943160.38224910,500000,1.8863207644982,1.8863,1.869,-0.0091823007116224363342001054
2026-09-08,10:50,17,1080001.815,0.86482,934007.16964830,9547.19,943554.35964830,500000,1.8871087192966,1.8871,1.869,-0.0095960127317676934668212415
2026-09-08,10:51,17,1080639.430,0.86482,934558.59185260,9547.19,944105.78185260,500000,1.8882115637052,1.8882,1.870,-0.0096448745761644477594425320
2026-09-08,10:52,17,1080926.535,0.86482,934806.88599870,9547.19,944354.07599870,500000,1.8887081519974,1.8887,1.868,-0.0109641883927382481535565053
2026-09-08,10:53,17,1080750.710,0.86482,934654.82902220,9547.19,944202.01902220,500000,1.8884040380444,1.8884,1.868,-0.0108049112548658201610369346
2026-09-08,10:54,17,1080097.665,0.86482,934090.06264530,9547.19,943637.25264530,500000,1.8872745052906,1.8873,1.869,-0.0096830139120573327286886330
2026-09-08,10:55,17,1080231.320,0.86482,934205.65016240,9547.19,943752.84016240,500000,1.8875056803248,1.8875,1.869,-0.0098043044414126276522935701
2026-09-08,10:56,17,1080065.475,0.86482,934062.22408950,9547.19,943609.41408950,500000,1.887218828179,1.8872,1.868,-0.0101836776382442501271793581
2026-09-08,10:57,17,1078990.395,0.86482,933132.47340390,9547.19,942679.66340390,500000,1.8853593268078,1.8854,1.868,-0.0092074367792753754197099677
2026-09-08,10:58,17,1079585.225,0.86482,933646.89428450,9547.19,943194.08428450,500000,1.886388168569,1.8864,1.868,-0.0097478180129538914445890628
2026-09-08,10:59,17,1080385.435,0.86482,934338.93189670,9547.19,943886.12189670,500000,1.8877722437934,1.8878,1.868,-0.0104738502530731654630074728
2026-09-08,11:00,17,1079919.710,0.86482,933936.16360220,9547.19,943483.35360220,500000,1.8869667072044,1.8870,1.868,-0.0100514265206617068412202501
2026-09-08,11:01,17,1079063.520,0.86482,933195.71336640,9547.19,942742.90336640,500000,1.8854858067328,1.8855,1.867,-0.0098042672433755955647084641
2026-09-08,11:02,17,1078856.060,0.86482,933016.29780920,9547.19,942563.48780920,500000,1.8851269756184,1.8851,1.867,-0.0096157849592352252989265812
2026-09-08,11:03,17,1079311.765,0.86482,933410.40060730,9547.19,942957.59060730,500000,1.8859151812146,1.8859,1.868,-0.0094994628565755287119558382
2026-09-08,11:04,17,1079365.925,0.86482,933457.23925850,9547.19,943004.42925850,500000,1.886008858517,1.8860,1.867,-0.0100788808234691857498510386
2026-09-08,11:05,17,1079266.405,0.86482,933371.17237210,9547.19,942918.36237210,500000,1.8858367247442,1.8858,1.866,-0.0105187922601786785439517337
2026-09-08,11:06,17,1078258.740,0.86482,932499.72352680,9547.19,942046.91352680,500000,1.8840938270536,1.8841,1.867,-0.0090727047709358600983717558
2026-09-08,11:07,17,1078259.315,0.86482,932500.22079830,9547.19,942047.41079830,500000,1.8840948215966,1.8841,1.867,-0.0090732278442937836981052498
2026-09-08,11:08,17,1078617.690,0.86482,932810.15066580,9547.19,942357.34066580,500000,1.8847146813316,1.8847,1.867,-0.0093991316070632592260779568
2026-09-08,11:09,17,1078891.345,0.86482,933046.81298290,9547.19,942594.00298290,500000,1.8851880059658,1.8852,1.867,-0.0096478472747773021725862729
2026-09-08,11:10,17,1079170.345,0.86482,933288.09776290,9547.19,942835.28776290,500000,1.8856705755258,1.8857,1.867,-0.0099012922872776441958052056
2026-09-08,11:11,17,1080293.110,0.86482,934259.08739020,9547.19,943806.27739020,500000,1.8876125547804,1.8876,1.867,-0.0109199076517045160892746402
2026-09-08,11:12,17,1079765.565,0.86482,933802.85592330,9547.19,943350.04592330,500000,1.8867000918466,1.8867,1.867,-0.0104415598068469990165084116
2026-09-08,11:13,17,1079795.950,0.86482,933829.13347900,9547.19,943376.32347900,500000,1.886752646958,1.8868,1.868,-0.0099391125743137450746723014
2026-09-08,11:14,17,1079246.155,0.86482,933353.65976710,9547.19,942900.84976710,500000,1.8858016995342,1.8858,1.867,-0.0099701360640644715606318686
2026-09-08,11:15,17,1078796.885,0.86482,932965.12208570,9547.19,942512.31208570,500000,1.8850246241714,1.8850,1.866,-0.0100925069770707378855598841
2026-09-08,11:16,17,1078866.285,0.86482,933025.14059370,9547.19,942572.33059370,500000,1.8851446611874,1.8851,1.866,-0.0101555395623279713312249294
2026-09-08,11:17,17,1078821.575,0.86482,932986.47449150,9547.19,942533.66449150,500000,1.885067328983,1.8851,1.867,-0.0095844475712957070769497311
2026-09-08,11:18,17,1078568.605,0.86482,932767.70097610,9547.19,942314.89097610,500000,1.8846297819522,1.8846,1.867,-0.0093545067158697513467494244
2026-09-08,11:19,17,1078304.695,0.86482,932539.46632990,9547.19,942086.65632990,500000,1.8841733126598,1.8842,1.868,-0.0085837712227060924145275868
2026-09-08,11:20,17,1078430.965,0.86482,932648.66715130,9547.19,942195.85715130,500000,1.8843917143026,1.8844,1.868,-0.0086986767019756596265643341
2026-09-08,11:21,17,1078850.210,0.86482,933011.23861220,9547.19,942558.42861220,500000,1.8851168572244,1.8851,1.868,-0.0090799979634166777052003718
2026-09-08,11:22,17,1079800.210,0.86482,933832.81761220,9547.19,943380.00761220,500000,1.8867600152244,1.8868,1.867,-0.0104729881198218319598594954
2026-09-08,11:23,17,1080095.270,0.86482,934087.99140140,9547.19,943635.18140140,500000,1.8872703628028,1.8873,1.868,-0.0102107059924267730482590955
2026-09-08,11:24,17,1080296.590,0.86482,934262.09696380,9547.19,943809.28696380,500000,1.8876185739276,1.8876,1.867,-0.0109230615826684642797889722
2026-09-08,11:25,17,1079609.840,0.86482,933668.18182880,9547.19,943215.37182880,500000,1.8864307436576,1.8864,1.867,-0.0103002687604241102336324176
2026-09-08,11:26,17,1079529.050,0.86482,933598.31302100,9547.19,943145.50302100,500000,1.886291006042,1.8863,1.866,-0.0107570920801751424629507267
2026-09-08,11:27,17,1079205.950,0.86482,933318.88967900,9547.19,942866.07967900,500000,1.885732159358,1.8857,1.867,-0.0099336267163081040903867296
2026-09-08,11:28,17,1079116.575,0.86482,933241.59639150,9547.19,942788.78639150,500000,1.885577572783,1.8856,1.866,-0.0103827989182670806857671278
2026-09-08,11:29,17,1078719.605,0.86482,932898.28879610,9547.19,942445.47879610,500000,1.8848909575922,1.8849,1.866,-0.0100223079303917469235447170
2026-09-08,11:30,17,1078585.260,0.86482,932782.10455320,9547.19,942329.29455320,500000,1.8846585891064,1.8847,1.867,-0.0093696488098529920883360809
2026-09-08,11:31,17,1078406.850,0.86482,932627.81201700,9547.19,942175.00201700,500000,1.884350004034,1.8844,,
2026-09-08,11:32,17,1078587.410,0.86482,932783.96391620,9547.19,942331.15391620,500000,1.8846623078324,1.8847,,
2026-09-08,11:33,17,1077976.415,0.86482,932255.56322030,9547.19,941802.75322030,500000,1.8836055064406,1.8836,,
2026-09-08,11:34,17,1077120.540,0.86482,931515.38540280,9547.19,941062.57540280,500000,1.8821251508056,1.8821,,
2026-09-08,11:35,17,1077278.470,0.86482,931651.96642540,9547.19,941199.15642540,500000,1.8823983128508,1.8824,,
2026-09-08,11:36,17,1077691.190,0.86482,932008.89493580,9547.19,941556.08493580,500000,1.8831121698716,1.8831,,
2026-09-08,11:37,17,1077579.580,0.86482,931912.37237560,9547.19,941459.56237560,500000,1.8829191247512,1.8829,,
2026-09-08,11:38,17,1077591.260,0.86482,931922.47347320,9547.19,941469.66347320,500000,1.8829393269464,1.8829,,
2026-09-08,11:39,17,1077925.340,0.86482,932211.39253880,9547.19,941758.58253880,500000,1.8835171650776,1.8835,,
2026-09-08,11:40,17,1077955.700,0.86482,932237.64847400,9547.19,941784.83847400,500000,1.883569676948,1.8836,,
2026-09-08,11:41,17,1077043.295,0.86482,931448.58238190,9547.19,940995.77238190,500000,1.8819915447638,1.8820,,
2026-09-08,11:42,17,1076934.410,0.86482,931354.41645620,9547.19,940901.60645620,500000,1.8818032129124,1.8818,,
2026-09-08,11:43,17,1076727.560,0.86482,931175.52843920,9547.19,940722.71843920,500000,1.8814454368784,1.8814,,
