fund_code,date,component_code,component_name,quantity,flag,valuation_method,amount_cny,price_hkd,price_date,source_path
159217,2026-09-08,159900,申赎现金,0.00,2,excluded_cash_placeholder,0,,,raw/pcf/159217_20260908.xml
159217,2026-09-08,00013,和黄医药,1240.00,1,unadjusted_close_times_fixed_fx,23699.5272800000,22.100,2026-09-08,raw/hk_daily/hk00013_day.json
159217,2026-09-08,00512,远大医药,2859.00,1,unadjusted_close_times_fixed_fx,12238.9758810000,4.950,2026-09-08,raw/hk_daily/hk00512_day.json
159217,2026-09-08,00867,康哲药业,2922.00,1,unadjusted_close_times_fixed_fx,27898.1246016000,11.040,2026-09-08,raw/hk_daily/hk00867_day.json
159217,2026-09-08,01093,石药集团,16186.00,1,unadjusted_close_times_fixed_fx,131860.9388184000,9.420,2026-09-08,raw/hk_daily/hk01093_day.json
159217,2026-09-08,01177,中国生物制药,23077.00,1,unadjusted_close_times_fixed_fx,116651.3019133000,5.845,2026-09-08,raw/hk_daily/hk01177_day.json
159217,2026-09-08,01276,恒瑞医药,362.00,1,unadjusted_close_times_fixed_fx,14501.1633888000,46.320,2026-09-08,raw/hk_daily/hk01276_day.json
159217,2026-09-08,01349,复旦张江,587.00,1,unadjusted_close_times_fixed_fx,1279.2763368000,2.520,2026-09-08,raw/hk_daily/hk01349_day.json
159217,2026-09-08,01513,丽珠医药,313.00,1,unadjusted_close_times_fixed_fx,5689.8756332000,21.020,2026-09-08,raw/hk_daily/hk01513_day.json
159217,2026-09-08,01530,三生制药,4428.00,1,unadjusted_close_times_fixed_fx,62917.4192328000,16.430,2026-09-08,raw/hk_daily/hk01530_day.json
159217,2026-09-08,01801,信达生物,1567.00,1,unadjusted_close_times_fixed_fx,135788.3285880000,100.200,2026-09-08,raw/hk_daily/hk01801_day.json
159217,2026-09-08,01877,君实生物,444.00,1,unadjusted_close_times_fixed_fx,6857.8842288000,17.860,2026-09-08,raw/hk_daily/hk01877_day.json
159217,2026-09-08,01952,云顶新耀,615.00,1,unadjusted_close_times_fixed_fx,17572.7964720000,33.040,2026-09-08,raw/hk_daily/hk01952_day.json
159217,2026-09-08,02096,先声药业,1882.00,1,unadjusted_close_times_fixed_fx,18928.8861212000,11.630,2026-09-08,raw/hk_daily/hk02096_day.json
159217,2026-09-08,02157,乐普生物,2360.00,1,unadjusted_close_times_fixed_fx,8572.0958400000,4.200,2026-09-08,raw/hk_daily/hk02157_day.json
159217,2026-09-08,02162,康诺亚-B,514.00,1,unadjusted_close_times_fixed_fx,35339.1396600000,79.500,2026-09-08,raw/hk_daily/hk02162_day.json
159217,2026-09-08,02171,科济药业-B,847.00,1,unadjusted_close_times_fixed_fx,9815.5340360000,13.400,2026-09-08,raw/hk_daily/hk02171_day.json
159217,2026-09-08,02186,绿叶制药,5032.00,1,unadjusted_close_times_fixed_fx,8355.4065408000,1.920,2026-09-08,raw/hk_daily/hk02186_day.json
159217,2026-09-08,02196,复星医药,1090.00,1,unadjusted_close_times_fixed_fx,16270.2045880000,17.260,2026-09-08,raw/hk_daily/hk02196_day.json
159217,2026-09-08,02410,同源康医药-Ｂ,545.00,1,unadjusted_close_times_fixed_fx,1743.9095300000,3.700,2026-09-08,raw/hk_daily/hk02410_day.json
159217,2026-09-08,02493,迈威生物-B,74.00,1,unadjusted_close_times_fixed_fx,1333.6908112000,20.840,2026-09-08,raw/hk_daily/hk02493_day.json
159217,2026-09-08,02575,轩竹生物-B,139.00,1,unadjusted_close_times_fixed_fx,1190.0788020000,9.900,2026-09-08,raw/hk_daily/hk02575_day.json
159217,2026-09-08,02595,劲方医药-B,148.00,1,unadjusted_close_times_fixed_fx,3463.5003216000,27.060,2026-09-08,raw/hk_daily/hk02595_day.json
159217,2026-09-08,02617,药捷安康-B,29.00,1,unadjusted_close_times_fixed_fx,242.8976693000,9.685,2026-09-08,raw/hk_daily/hk02617_day.json
159217,2026-09-08,03692,翰森制药,2833.00,1,unadjusted_close_times_fixed_fx,88397.2649648000,36.080,2026-09-08,raw/hk_daily/hk03692_day.json
159217,2026-09-08,03933,联邦制药,2615.00,1,unadjusted_close_times_fixed_fx,19132.3263780000,8.460,2026-09-08,raw/hk_daily/hk03933_day.json
159217,2026-09-08,06160,百济神州,704.00,1,unadjusted_close_times_fixed_fx,129559.7219840000,212.800,2026-09-08,raw/hk_daily/hk06160_day.json
159217,2026-09-08,06185,康希诺生物,224.00,1,unadjusted_close_times_fixed_fx,5710.8561664000,29.480,2026-09-08,raw/hk_daily/hk06185_day.json
159217,2026-09-08,06855,亚盛医药,662.00,1,unadjusted_close_times_fixed_fx,19579.8707280000,34.200,2026-09-08,raw/hk_daily/hk06855_day.json
159217,2026-09-08,06955,博安生物,320.00,1,unadjusted_close_times_fixed_fx,856.5177280000,3.095,2026-09-08,raw/hk_daily/hk06955_day.json
159217,2026-09-08,06990,科伦博泰生物,157.00,1,unadjusted_close_times_fixed_fx,66259.0491200000,488.000,2026-09-08,raw/hk_daily/hk06990_day.json
159217,2026-09-08,09606,映恩生物-B,39.00,1,unadjusted_close_times_fixed_fx,6293.6410680000,186.600,2026-09-08,raw/hk_daily/hk09606_day.json
159217,2026-09-08,09688,再鼎医药,2606.00,1,unadjusted_close_times_fixed_fx,45074.4184000000,20.000,2026-09-08,raw/hk_daily/hk09688_day.json
159217,2026-09-08,09887,维立志博-B,62.00,1,unadjusted_close_times_fixed_fx,3394.0725720000,63.300,2026-09-08,raw/hk_daily/hk09887_day.json
159217,2026-09-08,09926,康方生物,1244.00,1,unadjusted_close_times_fixed_fx,103495.4308960000,96.200,2026-09-08,raw/hk_daily/hk09926_day.json
159217,2026-09-08,09969,诺诚健华,2328.00,1,unadjusted_close_times_fixed_fx,29716.3221696000,14.760,2026-09-08,raw/hk_daily/hk09969_day.json
159217,2026-09-08,09995,荣昌生物,428.00,1,unadjusted_close_times_fixed_fx,28871.1508800000,78.000,2026-09-08,raw/hk_daily/hk09995_day.json
520700,2026-09-08,00013,和黄医药,1022,1,unadjusted_close_times_fixed_fx,19532.99748400,22.100,2026-09-08,raw/hk_daily/hk00013_day.json
520700,2026-09-08,00460,四环医药,7637,1,unadjusted_close_times_fixed_fx,5250.68112030,0.795,2026-09-08,raw/hk_daily/hk00460_day.json
520700,2026-09-08,00512,远大医药,2379,1,unadjusted_close_times_fixed_fx,10184.16356100,4.950,2026-09-08,raw/hk_daily/hk00512_day.json
520700,2026-09-08,00867,康哲药业,2448,1,unadjusted_close_times_fixed_fx,23372.55613440,11.040,2026-09-08,raw/hk_daily/hk00867_day.json
520700,2026-09-08,01093,石药集团,13520,1,unadjusted_close_times_fixed_fx,110142.09148800,9.420,2026-09-08,raw/hk_daily/hk01093_day.json
520700,2026-09-08,01177,中国生物制药,18811,1,unadjusted_close_times_fixed_fx,95087.21412190,5.845,2026-09-08,raw/hk_daily/hk01177_day.json
