market_type,security_code,orig_time,kline_time,open_price,high_price,low_price,close_price,volume_trade,value_trade,variety_category,open_price_yuan,high_price_yuan,low_price_yuan,close_price_yuan,volume_shares,value_trade_yuan
101,513350,0,202608210930,1339000,1344000,1339000,1344000,2303400000,3087165620000,0,1.339,1.344,1.339,1.344,23034000,30871656.2
101,513350,0,202608210931,1345000,1351000,1343000,1343000,1633470000,2200807170000,0,1.345,1.351,1.343,1.343,16334700,22008071.7
101,513350,0,202608210932,1342000,1348000,1342000,1348000,762120000,1024822590000,0,1.342,1.348,1.342,1.348,7621200,10248225.9
101,513350,0,202608210933,1349000,1353000,1349000,1352000,1708780000,2307343870500,0,1.349,1.353,1.349,1.352,17087800,23073438.705
101,513350,0,202608210934,1352000,1352000,1348000,1348000,990940000,1337457690000,0,1.352,1.352,1.348,1.348,9909400,13374576.9
101,513350,0,202608210935,1348000,1360000,1348000,1359000,2440370500,3308058115000,0,1.348,1.36,1.348,1.359,24403705,33080581.15
101,513350,0,202608210936,1357000,1357000,1354000,1355000,1245890000,1689535150000,0,1.357,1.357,1.354,1.355,12458900,16895351.5
101,513350,0,202608210937,1356000,1356000,1353000,1355000,1326020000,1796243340000,0,1.356,1.356,1.353,1.355,13260200,17962433.4
101,513350,0,202608210938,1355000,1357000,1354000,1356000,1229250000,1665767520000,0,1.355,1.357,1.354,1.356,12292500,16657675.2
101,513350,0,202608210939,1355000,1356000,1355000,1356000,890050500,1206081247500,0,1.355,1.356,1.355,1.356,8900505,12060812.475
101,513350,0,202608210940,1355000,1357000,1354000,1356000,732070000,992245320000,0,1.355,1.357,1.354,1.356,7320700,9922453.2
101,513350,0,202608210941,1356000,1356000,1353000,1353000,755130000,1023001920000,0,1.356,1.356,1.353,1.353,7551300,10230019.2
101,513350,0,202608210942,1352000,1352000,1351000,1352000,519600000,702319290000,0,1.352,1.352,1.351,1.352,5196000,7023192.9
101,513350,0,202608210943,1352000,1352000,1348000,1348000,1713360000,2311210790000,0,1.352,1.352,1.348,1.348,17133600,23112107.9
101,513350,0,202608210944,1349000,1349000,1347000,1348000,984400000,1327229340000,0,1.349,1.349,1.347,1.348,9844000,13272293.4
101,513350,0,202608210945,1348000,1348000,1347000,1347000,333860000,449893310000,0,1.348,1.348,1.347,1.347,3338600,4498933.1
101,513350,0,202608210946,1347000,1349000,1347000,1348000,890430000,1200631200000,0,1.347,1.349,1.347,1.348,8904300,12006312
101,513350,0,202608210947,1349000,1349000,1347000,1348000,606040000,816814830000,0,1.349,1.349,1.347,1.348,6060400,8168148.3
101,513350,0,202608210948,1348000,1350000,1348000,1348000,483930000,652883110000,0,1.348,1.35,1.348,1.348,4839300,6528831.1
101,513350,0,202608210949,1349000,1350000,1348000,1349000,464080000,625971580000,0,1.349,1.35,1.348,1.349,4640800,6259715.8
