trading_day,usd_cny_spot_close
2026-05-27,6.7817
2026-05-28,6.7800
2026-05-29,6.7685
2026-06-01,6.7650
2026-06-02,6.7622
2026-06-03,6.7720
2026-06-04,6.7768
2026-06-05,6.7712
2026-06-08,6.7844
2026-06-09,6.7702
2026-06-10,6.7774
2026-06-11,6.7773
2026-06-12,6.7616
2026-06-15,6.7572
2026-06-16,6.7574
2026-06-17,6.7569
2026-06-18,6.7623
2026-06-22,6.7763
2026-06-23,6.7865
2026-06-24,6.8052
2026-06-25,6.7995
2026-06-26,6.7997
2026-06-29,6.7929
2026-06-30,6.7852
2026-07-01,6.7935
2026-07-02,6.7866
2026-07-06,6.7925
2026-07-07,6.7956
2026-07-08,6.7993
2026-07-09,6.7935
2026-07-10,6.7784
