horizon,test_date,fit_start,inner_fit_end,validation_start,train_end,train_rows,test_rows,selection_score,alpha,legs,HSI_FUT,HHI_FUT,HTI_FUT,02800,02828,03032,03033,02845,fixed_pair_HHI_beta,fixed_pair_HTI_beta
5,20260610,20260303,20260522,20260526,20260609,6900,115,0.0014711791279295359,0.1,02828+03032,0.0,0.0,0.0,0.0,0.3262748905245305,0.4082320483669803,0.0,0.0,0.30291077432431485,0.44594025341429183
5,20260611,20260304,20260526,20260527,20260610,6900,115,0.001515131864741147,0.1,HHI_FUT+03032,0.0,0.38220832027525925,0.0,0.0,0.0,0.3779146303615896,0.0,0.0,0.30397185963721657,0.44833456051560727
5,20260612,20260305,20260527,20260528,20260611,6900,115,0.0015287067533884316,0.1,02828+03032,0.0,0.0,0.0,0.0,0.32708815453542345,0.404778179216347,0.0,0.0,0.3183775422180719,0.4366268793778766
5,20260615,20260306,20260528,20260529,20260612,6900,115,0.0014568320799540383,0.01,HHI_FUT+03033,0.0,0.4989408306889232,0.0,0.0,0.0,0.0,0.3610180007602875,0.0,0.3210638010047164,0.43150474796234073
5,20260616,20260309,20260529,20260601,20260615,6900,115,0.0013757056010698446,0.1,HHI_FUT+03032,0.0,0.3911796474145238,0.0,0.0,0.0,0.3633809747413335,0.0,0.0,0.33019985557786696,0.4251885186011622
5,20260617,20260310,20260601,20260603,20260616,6900,115,0.001357908328017036,0.1,HHI_FUT+03032,0.0,0.40137307979841524,0.0,0.0,0.0,0.3556992325456324,0.0,0.0,0.35711263997438725,0.40644283926458036
5,20260618,20260316,20260603,20260604,20260617,6900,115,0.0013161296545880095,0.01,HHI_FUT+03032,0.0,0.4916086454114513,0.0,0.0,0.0,0.3375610794714454,0.0,0.0,0.3581540383801392,0.4086540998053108
5,20260622,20260317,20260604,20260605,20260618,6900,115,0.0013575824880631636,0.0,HHI_FUT+03033,0.0,0.532878764825494,0.0,0.0,0.0,0.0,0.3431384188340097,0.0,0.37760224360592054,0.3928122706113441
5,20260623,20260318,20260605,20260608,20260622,6900,115,0.0012977305006729133,0.0,HHI_FUT+03033,0.0,0.5348677716638754,0.0,0.0,0.0,0.0,0.3386731493470177,0.0,0.3920864717721023,0.38356953962279483
5,20260624,20260319,20260608,20260609,20260623,6900,115,0.0013676175365722931,0.0,HHI_FUT+03033,0.0,0.5385707585747573,0.0,0.0,0.0,0.0,0.3361135968513293,0.0,0.3844963537332489,0.388328932514989
